Регион;id;Наименование;Широта;Долгота
Волгоградская область;1;Расчистка проток от озера Дегтярное и ерика Дударев до системы озер Чайка на территории Волго-Ахтубинской поймы в Среднеахтубинском муниципальном районе Волгоградской области;48.690892;44.659437
Волгоградская область;2;"Разработка проекта ""Расчистка ерика Кривой на территории Волго-Ахтубинской поймы в Среднеахтубинском мунципальном районе Волгоградской области"" (ПИР)";48.581544;44.527369
Волгоградская область;3;Расчистка ерика Кривой на территории Волго-Ахтубинской поймы в Среднеахтубинском муниципальном районе Волгоградской области;48.581544;44.527369
Астраханская область;4;Расчистка протоки Царев в Приволжском районе Астраханской области;46.327910;47.997150
Волгоградская область;5;Экологическая реабилтация ерика Старый Каширин (Прямица) и озер Проклятое, Камышистое и Кружное на территории Волго-Ахтубинской поймы в Среднеахтубинском муниципальном районе Волгоградской области;48.648820;44.794908
Волгоградская область;6;Экологическая реабилитация озера Широкогорлое на территории Волго-Ахтубинской поймы Среднеахтубинского муниципального района Волгоградской области;48.608418;44.836547
Волгоградская область;7;Экологическая реабилитация ериков Судомойка, Сахарный и озера Запорное на территории Волго-Ахтубинской поймы в Среднеахтубинском муниципальном районе Волгоградской области;48.695205;44.630199
Волгоградская область;8;Экологическая реабилитация ерика Шумроватый на территории Волго-Ахтубинской поймы Среднеахтубинского муниципального района Волгоградской области;48.610021;44.866662
Волгоградская область;9;Экологическая реабилитация ериков Шуляшка, Клетский и озер Варежка, Песчаное на территории Волго-Ахтубинской поймы Среднеахтубинского муниципального района Волгоградской области;48.603354;44.764380
Волгоградская область;10;Экологическая реабилитация ерика Песчаный и озер Бешеное, Чубатое и Ямы на территории Волго-Ахтубинской поймы Среднеахтубинского муниципального района Волгоградской области;48.656534;44.616821
Волгоградская область;11;Экологическая реабилитация озерной системы Чайка у п.Великий Октябрь на территории Волго-Ахтубинской поймы Среднеахтубинского муниципального района Волгоградской области;48.645184;44.709668
Волгоградская область;12;Экологическая реабилитация ерика Обухов на территории Волго-Ахтубинской поймы Среднеахтубинского муниципального района Волгоградской области;48.686559;44.565698
Волгоградская область;13;Экологическая реабилитация озер Жестково, Большая Киляжка и Песчаное на территории Волго-Ахтубинской поймы Среднеахтубинского муниципального района Волгоградской области;48.613025 ;44.746539
Волгоградская область;14;Строительство переливной плотины на ерике Каширин у х.Невидимка на территории Волго-Ахтубинской поймы в Среднеахтубинском муниципальном районе Волгоградской области;48.602995;44.796441
Волгоградская область;15;Строительство водопропускных сооружений №74, №75, №76, №110, №111, №112, №113, №114, №157 на территории Волго-Ахтубинской поймы в Среднеахтубинском муниципальном районе Волгоградской области;48.610021;44.866662
Астраханская область;16;Строительство гидротехнического сооружения на ильмене Бунтур Наримановского района Астраханской области;46.168665;47.473663
Волгоградская область;17;Строительство  гидротехнических сооружений обеспечивающих в меженный период дополнительное обводнение Волго-Ахтубинской поймы на территории Волгоградской области в объеме 100 м3/с (ПИР);48.707073;44.516930
Астраханская область;18;Расчистка Гандуринского и впадающих в него Никитинского и Горного каналов - рыбоходов Камызякского района Астраханской области (II этап);46.077660;48.078139
Астраханская область;19;Расчистка Карайского и впадающих в него Рычинского, Васильевского и Мало-Белинского каналов-рыбоходов Володарского района Астраханской области (ПИР);46.306074;48.642569
Астраханская область;20;Расчистка Кировского и впадающих в него Каралатского и Кулагинского каналов-рыбоходов Камызякского района Астраханской области (ПИР);45.868589;48.229676
Астраханская область;21;Удаление водных растений из водного объекта, в том числе: уничтожение излишней водной растительности в протоках-рыбоходах (водоподающие и сбросные каналы нерестовых массивах восточной части дельты реки Волги: Тулугановскому, Большому Могойскому, Болдыревскому,  Сорочинскому,  Жиротопинскому, Рычанскому, Зеленгинскому, Володарскому, Калинин-скому, Мултановскому, Диановскому, Марфинскому, Старо-Каргинскому, Алгаринскому, Кудринскому, Кривобузанскому, Ватаженскому, Шагано-Кандаковскому,  Бузанскому, Байбекскому, Верхне-Рычанскому, Джанайскому, Забузанскому и  в  протоках, прилегающих к Белинскому, Мало-Белинскому, Карайскому,  Васильевскому, Рычинскому, Зеленга-Тишковскому, Тишковскому, Полдневскому, Обжо-ровскому, Иголкинскому, Старо-Иголкинскому, Ки-ровскому, Кулагинскому, Гандуринскому, Бардынин-скому, Каралатскому, Никитинскому, Старо-Никитинскому, Цаплинскому, Зюдевскому каналам-рыбоходам и каналу-рыбоходу «Центральная Жилка»;46.311160;48.653160
Астраханская область;22;Расчистка русла проток-рыбоходов (водопадающие и сбросные каналы) нерестовых массивов восточной части дельты р. Волги: Тулугановскому, Большому Могойскому, Болдыревскому, Сорочинскому, Жиротопинскому, Рычанскому, Зеленгинскому, Володарскому, Калининскому, Мултановскому, Диановскому, Марфинскому, Старо-Каргинскому, Алгаринскому, Кудринскому, Кривобузанскому, Ватаженскому, Шагано-Кандавскому, Бузанскому, Байбекскому, Верхне-Рычанскому, Джанайскому, Забузанскому;46.311160;48.653160
Астраханская область;23;Расчистка подводящего канала к Газынскому водохранилищу и подводящего канала к Михайловскому водохранилищу в Лиманском районе Астраханской области;45.891125;47.299291
Астраханская область;24;Расчистка подводящего канала к Восточенскому водохранилищу, подводящего канала к Бирюковскому водохранилищу и подводящего канала к Басинскому водохранилищу в Лиманском районе Астраханской области;46.123097;47.670188
Астраханская область;25;Реконструкция насосной станции НС-1 оросительной системы «0-69», Приволжский район, Астраханская область (проектирование);46.234456;48.214475
Астраханская область;26;Реконструкция насосной станции «Зареченская», Лиманский район, Астраханская область (проектирование);45.876083;47.455538
Астраханская область;27;Реконструкция плавучей насосной станции СНР 3х315 орошаемого участка «Присельский -1», Харабалинский район, Астраханская область (проектирование);47.569829;46.908954
Астраханская область;28;Реконструкция напорного трубопровода Ступинской оросительной системы, Черноярский район, Астраханская область (проектирование);48.304533;45.785801
Волгоградская область;29;Реконструкция головного водозабора (РН-2Э) Райгородской оросительно-обводнительной системы, Светлоярский район, Волгоградская область (проектирование);48.424488,;44.918109
Волгоградская область;30;Реконструкция канала Р-1 и Р-3 с гидротехническими сооружениями Райгородской оросительно-обводнительной системы, Светлоярский район, Волгоградская область (проектирование);48.424488,;44.918109
Волгоградская область;31;Строительство очистных сооружений на водовыпусках в реку Волга в Волгограде;48.701476;44.521009
Волгоградская область;32;Строительство сооружений биологической очистки на о. Голодный в Волгограде. 1-й этап строительства.;48.658541;44.505198
Вологодская область;33;1 этап. Реконструкция Комплекса очистных сооружений канализации: Реконструкция и модернизация первичных и вторичных отстойников Правобережного участка КОСК.                                ;59.116517;37.894408
Московская область;34;Реконструкция городских очистных сооружений хозяйственно-бытовых стоков по адресу: г. Подольск, Домодедовское шоссе, д. 25Б. Блок сооружений биологической очистки (корректировка);55.440028;37.588718
Московская область;35;Реконструкция Щелковских межрайонных очистных сооружений;55.924493;38.013450
Нижегородская область;36;Строительство объектов системы водоотведения с элементами механической очистки от КНС в д.Березовка до д.51 в микрорайоне № 11 г.Арзамас Нижегородской области;55.363353;43.849678
Нижегородская область;37;Строительство объектов системы водоотведения с элементами механической очистки по улицам Рабочая, Подлужная, 1, 2, 3, 4, 5 переулки Подлужные г. Бор Нижегородской области;56.340034;44.113430
Нижегородская область;38;Реконструкция канализационных очистных сооружений производительностью 700 м3/сут. в р.п. Мухтолово Ардатовского муниципального района Нижегородской области.;55.466045;43.196119
Нижегородская область;39;Строительство очистных сооружений для очистки канализационных стоков методом биологической очистки производительностью 400м3/сут. в с. Шатовка Арзамасского района Нижегородской области;55.274216;43.701592
Нижегородская область;40;Реконструкция очистных сооружений производительностью 1000 м3/сут. в р.п. Бутурлино Бутурлинского района Нижегородской области;55.567815;44.904823
Нижегородская область;41;Реконструкция канализационных очистных сооружений производительностью 300 м3/сут. в д.Красная Слобода Борского района Нижегородской области;56.431714;44.187248
Нижегородская область;42;"""Реконструкция БОС р.п. Досчатое"" (адрес местонахождения объекта: Нижегородская область, г. Выкса, Проммикрорайон 8)";55.284917;42.172417
Нижегородская область;43;Биологические очистные сооружения хозяйственно-бытовых сточных вод с.Смольки Городецкого района Нижегородской области;56.668585;43.638108
Нижегородская область;44;"Реконструкция очистных сооружений в г.Первомайск Нижегородской области (МУП ""Радуга"", г.Первомайск, городской округ город Первомайск Нижегородской области)";54.865979;43.797344
Нижегородская область;45;Канализационные очистные сооружения и сети канализации в с. Ильино-Заборское г.Семенов Нижегородской области» , Нижегородская область, г.о. Семеновский, с. Ильино-Заборское;57.247483;44.403976
Нижегородская область;46;Реконструкция канализационных очистных сооружений глубокой биологической очистки в г.Лысково Нижегородской области;56.021357;45.040962
Нижегородская область;47;Строительство очистных сооружений канализации города Ворсма Павловского района Нижегородской области;55.989990;43.271955
Нижегородская область;48;Реконструкция канализационных очистных сооружений,производительностью 1400 куб.м./сут. в р.п.Сосновское Нижегородской области (2-я очередь);55.804369;43.168298
Нижегородская область;49;Реконструкция системы Биологических очистных сооружений р.п.Досчатое. Строительство объектов системы водоотведения с элементами механической очистки от БОС р.п.Дружба до БОС р.п.Досчатое;55.404448;42.106121
Нижегородская область;50;Строительство очистных сооружений канализации на существующем стоке производительностью 200 м3/сут. в р.п. Васильсурск Воротынского района Нижегородской области;56.129574;46.018132
Нижегородская область;51;Строительство сооружений для ликвидации сброса промывных вод, сбору и перекачке осадка в городскую канализацию на водопроводной станции Слудинская;56.290390;43.978732
Нижегородская область;52;"Строительство сооружений для ликвидации сброса промывных вод, сбору и перекачке осадка в городскую канализацию на водопроводной станции ""Малиновая гряда"" (ОАО ""Нижегородский водоканал"", г.Нижний Новгород )";56.230757;43.927563
Нижегородская область;53;Строительство объекта: Очистные сооружения канализации производительностью 1200 м. куб/сут в р.п.Сокольское Нижегородской области;57.145085;43.164579
Республика Марий Эл;54;Реконструкция очистных сооружений канализации г. Козьмодемьянска;56.344167;46.568107
Республика Марий Эл;55;Строительство очистных сооружений в д. По речке Ноля Мари-Турекского района Республики Марий Эл;56.770263;49.668229
Республика Татарстан;56;Строительство очистных сооружений г.Заинск, Поповское сельское поселение, Заинский муниципальный район, РТ;55.298984;52.006391
Республика Татарстан;57;Строительство очистных сооружений поверхностных сточных вод на выпусках ливневой канализации в водные объекты г. Казани в районе Ветеринарной академии;55.820104;49.179794
Республика Татарстан;58;Устройство ливневой канализации в г.Тетюши;54.928013;48.835949
Республика Татарстан;59;Строительство биологических очистных сооружений в с.Красный Бор Агрызского муниципального района Республики Татарстан;55.890674;53.082079
Республика Татарстан;60;Строительство очистных сооружений в п.г.т.Алексеевское Алексеевского муниципального района РТ;55.307086;50.118914
Республика Татарстан;61;"Реконструкция районных очистных сооружений бытовых и промышленных сточных вод ""ОЭЗ ППТ ""Алабуга"" и г. Елабуга"" I этап";55.765827;52.052760
Республика Татарстан;62;Строительство сетей инженерно-технического обеспечения для жилого района «Салават Купере». Сети хозяйственно-бытовой канализации. 6 этап: Биологические очистные сооружения (БОС) п.г.т. Васильево производительностью 24 тыс. м3/сут, в т.ч.: - первая очередь – до 12 тыс. м3/сут.;55.865425;48.880609
Самарская область;63;Проектирование и реконструкция канализационных очистных сооружений села Богатырь г.о. Жигулевск;53.429176;49.963308
Самарская область;64;Проектирование и реконструкция канализационных очистных сооружений г.о.Жигулевск;53.405987;49.482287
Самарская область;65;Внеплощадочная канализация. Очистные сооружения канализации г. Сызрань. Реконструкция. 2-я очередь. Станция ультрафиолетовой дезинфекции сточных вод. Самарская область (3 пуск. комплекс, участок механической очистки);53.081553;48.386502
Самарская область;66;Реконструкция ГОКС г.о. Самара: Реконструкция системы обеззараживания очищенных сточных вод на ГОКС г. Самара. Станция УФ-обеззараживания;53.134230;50.063434
Самарская область;67;Корректировка рабочего проекта и строительство городских канализационных очистных сооружений г.о. Октябрьск;53.164399;48.672043
Саратовская область;68;Строительство канализационных очистных сооружений в п. Красный Текстильщик Саратовского муниципального района Саратовской области;51.360015;45.834130
Тверская область;69;Реконструкция блока биологической очистки очистных сооружений канализации г. Твери;56.817469;35.964007
Чувашская Республика;70;Строительство коллектора хозяйственно-бытовой канализации с очистными сооружениями хозяйственно-бытовых и производственных стоков производительностью 1800 м3/сут. в п.г.т. Вурнары;55.490345;46.958156
Чувашская Республика;71;Строительство сооружений очистки дождевых стоков центральной части г. Чебоксары;56.130003;47.221658
Ярославская область;72;Строительство локальных очистных сооружений в г. Тутаев, ул. 2-я Овражная Ярославская область;57.886425;39.538215
Ярославская область;73;Строительство очистных сооружений водоотведения в с. Большое Село Большесельского района Ярославской области;57.721084;38.941491
Ярославская область;74;Строительство очистных сооружений хозяйственно-бытовых стоков в п. Октябрь Некоузского района Ярославской области;57.824939;37.388448
Ярославская область;75;Реконструкция очистных сооружений хозяйственно-бытовой канализации Ярославская область, Некрасовский муниципальный район с.п. Красный Профинтерн, р.п. Красный Профинтерн;57.747371;40.438309
Ярославская область;76;Реконструкция очистных сооружений канализации в п.Судоверфь, Рыбинского района Ярославской области;58.112676;38.648245
Ярославская область;77;Реконструкция очистных сооружений канализации в п. Каменники Рыбинского района Ярославской области;58.152067;38.661280
Волгоградская область;78;Расчистка ерика Коршевистый и проток до озер Жеребино, Шлемино, Мелкое и Куст на  территории Волго-Ахтубинской поймы в Среднеахтубинском муниципальном районе Волгоградской области (проектные работы);48.644022;44.940974
Волгоградская область;79;Расчистка ерика Сухой Каширин на территории Волго-Ахтубинской поймы в Среднеахтубинском муниципальном районе Волгоградской области (проектные работы);48.543312;44.811569
Астраханская область;80;Расчистка русла рукава Ахтубы, Астраханская область  (проектные работы);47.137549;47.490174
Волгоградская область;81;Экологическая реабилитация озера Два Брата  на территории Волго-Ахтубинской поймы ;48.597414;44.552809
Волгоградская область;82;Экологическая реабилитация ериков Дудак, Дудаченок и озер Большая Невидимка и Малая Нивидимка на территории Волго-Ахтубинской поймы Среднеахтубинского муниципального района Волгоградской области;48.590037;45.045445
Волгоградская область;83;Экологическая реабилитация ериков Осинки, Прорва, Чичера, Чачварин и озера Большой Ильмень на территориии Волго-Ахтубинской поймы в Среднеахтубинском муниципальном районе Волгоградской области;48.715515;44.754786
Волгоградская область;84;Экологическая реабилитация ерика Гнилой и озер Самсоновское, Вшивое на территории Волго-Ахтубинской поймы в Среднеахтубинском муниципальном районе Волгоградской области;48.558508;44.631924
Волгоградская область;85;Экологическая реабилитация ерика Суходол и озер Песчанка, Кунак на территории Волго-Ахтубинской поймы в Среднеахтубинском муниципальном районе Волгоградской области;48.609465;44.964253
Волгоградская область;86;Экологическая реабилитация ерика Верблюд (Затонский) на территории Волго-Ахтубинской поймы Среднеахтубинского муниципального района Волгоградской области;48.722695;44.623075
Астраханская область;87;Экологическая реабилитация водного объекта ерика Казачий, г. Астрахань;46.370042;48.086602
Волгоградская область;88;Строительство водопропускных сооружений на территории Волго-Ахтубинской поймы в Среднеахтубинском муниципальном районе Волгоградской области;48.610021;44.866662
Астраханская область;89;Строительство  шлюзов-регуляторов в восточной и западной части ильменя Большой Долбанский Лиманского района Астраханской области, 4 куб. м/с;45.796750;47.217455
Астраханская область;90;Строительство шлюза - регулятора между протокой Хурдун и ильменем Голга в Икрянинском районе Астраханской области, 50 куб. м/с;46.124248;47.685061
Астраханская область;91;Строительство шлюза-регулятора на ерике Бува в Наримановском районе Астраханской области, 22 куб. м/с;46.255287;47.641882
Астраханская область;92;Расчистка Гандуринского и впадающих в него Никитинского и Горного каналов-рыбоходов Камызякского района Астраханской области (II этап);46.077660;48.078139
Астраханская область;93;Расчистка Карайского и впадающих в него Рычинского, Васильевского и Мало-Белинского каналов-рыбоходов Володарского района Астраханской области;46.306074;48.642569
Астраханская область;94;Расчистка Бардынинского канала-рыбохода Камызякского района Астраханской области (ПИР);45.894111;48.357105
Астраханская область;95;Расчистка Бардынинского канала-рыбохода Камызякского района Астраханской области;45.894111;48.357105
Астраханская область;96;Расчистка Кировского и впадающих в него Каралатского, Кулагинского каналов-рыбоходов Камызякского района Астраханской области;45.868589;48.229676
Астраханская область;97;Расчистка подводящего канала к насосной станции и Камышово-Караваненского водного тракта (ККВТ) в Лиманском районе Астраханской области;45.948054;47.439541
Астраханская область;98;Расчистка Яндыковского канала, Яндыко-Промысловского канала и Промысловсского канала в Лиманском районе Астраханской области;45.742615;47.144038
Астраханская область;99;Расчитска обводного канала Прикаспийской оросительной системы Нариманского района Астраханской области;46.220685;47.187462
Астраханская область;100;Реконструкция насосной станции НС-1 оросительной системы «0-69», Приволжский район, Астраханская область;46.234456;48.214475
Астраханская область;101;Реконструкция насосной станции «Зареченская», Лиманский район, Астраханская область;45.876083;47.455538
Астраханская область;102;Реконструкция плавучей насосной станции СНР 3х315 орошаемого участка «Присельский -1», Харабалинский район, Астраханская область;47.569829;46.908954
Астраханская область;103;Реконструкция напорного трубопровода Ступинской оросительной системы, Черноярский район, Астраханская область;48.304533;45.785801
Волгоградская область;104;Реконструкция головного водозабора (РН-2Э) Райгородской оросительно-обводнительной системы, Светлоярский район, Волгоградская область;48.424488,;44.918109
Волгоградская область;105;Реконструкция канала Р-1 и Р-3 с гидротехническими сооружениями Райгородской оросительно-обводнительной системы, Светлоярский район, Волгоградская область;48.424488,;44.918109
Вологодская область;106;Реконструкция Комплекса очистных сооружений канализации: Реконструкция и модернизация биологической очистки сточных вод на КОСК. Модернизация оборудования обезвоживания осадка Левобережного участка КОСК;59.116517;37.894408
Костромская область;107;Реконструкция канализационных очистных сооружений (в г. Волгореченске Костромской области);57.455454;41.182854
Московская область;108;Строительство очистных сооружений г. Шатура ул. Малькина Грива;55.565498;39.537883
Московская область;109;Реконструкция и расширение очистных сооружений г. Апрелевка по адресу: Московская область, Наро-Фоминский городской округ, г. Апрелевка, ул. Новая;55.531749;37.055802
Нижегородская область;110;Очистные сооружения канализации р.п.Сухобезводное г.о.Семеновский Нижегородской области;57.050078;44.895399
Нижегородская область;111;Реконструкция здания механического обезвоживания осадков сточных вод ОСК г.Сарова в части подготовки обезвоженного осадка к процессу компостирования;54.918777;43.286282
Нижегородская область;112;Реконструкция и техническое перевооружение канализационных очистных сооружений г.Сарова Нижегородской области;54.918777;43.286282
Республика Марий Эл;113;Реконструкция очистных сооружений канализации г. Йошкар-Олы Республики Марий Эл;56.612637;47.917054
Республика Татарстан;114;Строительство биологических очистных сооружений канализации в пгт.Нижние Вязовые Зеленодольского муниципального района РТ;55.798293;48.524297
Республика Татарстан;115;"Реконструкция районных очистных сооружений бытовых и промышленных сточных вод ""ОЭЗ ППТ ""Алабуга"" и г. Елабуга"" II этап";55.787377;52.070005
Республика Татарстан;116;Строительство биологических очистных сооружений в пос. Юртово Мензелинского муниципального района РТ;55.708029;53.046380
Республика Татарстан;117;Строительство биологических очистных сооружений в с. Пестрецы Пестречинског о муниципального района РТ;55.753316;49.650829
Республика Татарстан;118;Строительство биологических очистных сооружений в с.Кощаково Пестречинского муниципального района РТ;55.798348;49.404268
Тверская область;119;Первый этап реконструкции канализационных очистных сооружений г. Конаково Тверской области;56.715354;36.786396
Ульяновская область;120;Строительство станции УФ обеззараживания очищенных сточных вод на канализационных очистных сооружениях левобережья города Ульяновска;54.240779;48.333677
Ульяновская область;121;Реконструкция канализационных очистных сооружений производительностью 2000м3/сут;54.159263;48.354407
Чувашская Республика;122;Строительство ливневых очистных сооружений в мкр. «Волжский-1,2» г.Чебоксары;56.150930;47.165667
Ярославская область;123;Реконструкция (строительство) городских очистных сооружений канализации мкр. Копаево. - Строительство коллектора от дер. Дюдьково до ГОСК в мкр-не Копаево г. Рыбинска;58.026134;38.939621
Ярославская область;124;Реконструкция канализационных сетей и очистных сооружений канализации в с. Золоторучье, Угличского муниципально го района Ярославской области. 1 этап;57.551601;38.311988
Ярославская область;125;Строительство очистных сооружений канализации в п. Тихменево Тихменевского сельского поселения Рыбинского муниципально го района Ярославской области;57.992699;38.609842
 Волгоградская область;126;"Ликвидация химически опасных объектов от прошлой деятельности на ВОАО ""Химпром"". Обезвреживание шламонакопителя ""Белое море"". Рекультивация загрязненных участков"" (1-ый этап работ ""Ликвидация локального участка шламонакопителя ""Белое море"" с высоким содержанием ртути в отходах"")";48.588601;44.414414
 Астраханская область;127;"Экологическая реабилитация объекта ""Соколовские ямы"" в Приволжском районе Астраханской области ";46.253625;47.982991
 Чувашская Республика;128;Рекультивация шламонакопителя для сухих солей (инв. № 19543) и шламоотстойника № 5 (инв. № 24681) ГУП Чувашской Республики «БОС» Минстроя Чувашии;56.110695;47.535815
г. Москва;129;"АО ""Мосводоканал"": Строительство двух групп вторичных отстойников НКОС ""на месте первичных"" ";55.771611;37.675280